Date,Contact Title,Contact Name,Contact Office,Contact Agency,Client,Client Location,Registrant,Description,Type,Employees mentioned,Affiliated Member CRP ID,Affiliated Member Bioguide ID,Source,Contact ID,Record ID
2010-01-10,Wall Street Journal,Samantha Shields,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152737,43947
2010-01-10,International Herald Tribune,David Jolly,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152526,43948
2010-01-10,Radio Free Europe,Brian Whitmore,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152738,43949
2010-01-10,"Education Reporter, The Wall Street Journal",Barbara Martinez,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,149175,43950
2010-01-10,Voice of America,Peter Fedynsky,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152739,43951
2010-01-10,Time Magazine,Simon Schuster,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152740,43952
2010-01-10,U.S. Representative,David Scott,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,144974,43953
2010-01-10,National Public Radio,Kevin Beesley,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152741,43954
2010-01-11,,Phil Pan,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147891,43955
2010-01-11,"Foreign Correspondent, New York Times",Ellen Barry,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147801,43956
2010-01-11,STRATFOR,Lauren Goodrich,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152733,43957
2010-01-11,"Foreign Correspondent, Los Angeles Times",Megan Stack,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147803,43958
2010-01-11,Jamestown,Tammy Lynch,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152734,43959
2010-01-11,Russian Newsweek,Ilya Arkhipov,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152735,43960
2010-01-11,,Cliff Levy,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152503,43961
2010-01-11,"Foreign Correspondent, Washington Post",Sarah Marcus,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147795,43962
2010-01-11,Newsweek,Anna Nemtsovsa,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152736,43963
2010-01-11,Wall Street Journal,Samantha Shields,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152737,43964
2010-01-11,International Herald Tribune,David Jolly,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152526,43965
2010-01-11,"Education Reporter, The Wall Street Journal",Barbara Martinez,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,149175,43966
2010-01-11,Radio Free Europe,Brian Whitmore,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152738,43967
2010-01-11,Time Magazine,Simon Schuster,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152740,43968
2010-01-11,Voice of America,Peter Fedynsky,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152739,43969
2010-01-11,U.S. Representative,David Scott,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,144974,43970
2010-01-11,National Public Radio,Kevin Beesley,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152741,43971
2010-01-13,,Phil Pan,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147891,43972
2010-01-13,"Foreign Correspondent, New York Times",Ellen Barry,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147801,43973
2010-01-13,STRATFOR,Lauren Goodrich,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152733,43974
2010-01-13,"Foreign Correspondent, Los Angeles Times",Megan Stack,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147803,43975
2010-01-13,Jamestown,Tammy Lynch,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152734,43976
2010-01-13,Russian Newsweek,Ilya Arkhipov,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152735,43977
2010-01-13,,Cliff Levy,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152503,43978
2010-01-13,"Foreign Correspondent, Washington Post",Sarah Marcus,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147795,43979
2010-01-13,Newsweek,Anna Nemtsovsa,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152736,43980
2010-01-13,Wall Street Journal,Samantha Shields,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152737,43981
2010-01-13,International Herald Tribune,David Jolly,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152526,43982
2010-01-13,"Education Reporter, The Wall Street Journal",Barbara Martinez,,Media,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,149175,43983
2010-01-13,Radio Free Europe,Brian Whitmore,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152738,43984
2010-01-13,Time Magazine,Simon Schuster,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152740,43985
2010-01-13,Voice of America,Peter Fedynsky,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152739,43986
2010-01-13,U.S. Representative,David Scott,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,144974,43987
2010-01-15,,Phil Pan,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147891,43988
2010-01-13,National Public Radio,Kevin Beesley,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",about the background on the Batumi Oil Summit,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152741,43989
2010-01-15,"Foreign Correspondent, New York Times",Ellen Barry,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147801,43990
2010-01-15,STRATFOR,Lauren Goodrich,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,152733,43991
2010-01-15,"Foreign Correspondent, Los Angeles Times",Megan Stack,,,National Security Council of Georgia,Georgia,"Podesta Group, Inc.",Georgia/Ukraine Relations,email,"Mr. Anderson, ",,,http://www.fara.gov/docs/5926-Supplemental-Statement-20100729-3.pdf,147803,43992
