client_id,name,new_client_id,subcontractor id,x
130216,Suzlon Energy Ltd.,,,x
130173,Swiss Federation Swiss Embassy of Washington,,,x
130386,Swiss Private Bankers Association,,,x
129978,Switzerland Tourism,,,x
130237,"Switzerland Tourism, Zurich Switzerland",,,x
129833,Taipei Economic And Cultural Representative Office in the United States,,,x
129808,Taiwan External Trade Development Council,,,x
129812,"Taiwan Trade Center, Inc.",,,x
130365,Tajdeed Electoral Slate,,,x
129802,"Techsnabexport (""Tenex"")",,,x
129914,Temasek Holdings,,,x
129999,Tesfu Berhare Teckle,,,x
130264,"Thai Trade Center, Los Angeles, Royal Thai Consulate General (Commercial) Office of Commercial Affai",,,x
129902,The British Virgin Islands Tourist Board,,,x
130062,The Caribbean Tourism Organization,,,x
130008,"The City Government of St. Petersburg, Russion Federation",,,x
130175,"The City of Heidelberg, Germany",,,x
130369,The City of Osaka Municipal Government,,,x
130250,"The City of St. Petersburg, Russian Federation",,,x
130021,The Consulate General of the Republic of Azerbaijan,,,x
129939,The Development Bank of Japan,,,x
130174,The Embassy of India,,,x
130180,The Embassy of Sri Lanka,,,x
130278,The Embassy of the Islamic Republic of Pakistan,,,x
130179,The Embassy of the Republic of Azerbaijan,,,x
129764,The Embassy of the Republic of Peru,,,x
129778,The Executive of the World Zionist Organization,,,x
129894,The Federated States of Micronesia,,,x
130096,The Gaddafi International Charity and Development Foundation,,,x
130184,The Government of Albania,,,x
130034,The Government of Hong Kong Special Administrative Region,,,x
130219,The Government of Israel,,,x
130259,"The Government of Morocco, Embassy",,,x
130072,The Government of the Dominican Republic/Asociacion Dominicana de Hacendos y Agricultores,,,x
129935,The Government of the Kingdom of Saudi Arabia,,,x
129938,The Government of the Nagorno Karabakh Republic (NKR),,,x
130318,The Government of the Peoples Republic of Nagalim,,,x
130005,The Government of the Peoples Republic of Nagalim The National Socialist Council of Nagalim (I-M),,,x
129761,The Government of the Republic of Angola,,,x
129765,The Government of the Republic of Cameroon,,,x
130181,The Government of the Republic of Cyprus,,,x
129961,The Government of the Republic of Liberia,,,x
129979,The Government of the Republic of Trinidad and Tobago,,,x
129845,The Government of the United Kingdom,,,x
130334,The Government of United Mexican States,,,x
130132,The Grand National Party of Korea,,,x
129801,The Great Socialist People's Libyan Arab Jamahiriya,,,x
130156,The Italian Government And/or Political Party Under Thereof,,,x
130244,The Korea Industry Trade Association (K.I.T.A.),,,x
130061,The League of Arab States,,,x
129968,The Lesotho National Development Corporation (LNDC),,,x
129965,The Menachem Begin Heritage Foundation,,,x
129941,The Ministry of Fisheries in the Government of Iceland,,,x
130153,The Ministry of Foreign Affairs of the Republic of Kazakhstan,,,x
130060,The Ministry Of Trade & Industry Visit Denmark,,,x
130258,The Office of the President of the Federal Republic of Nigeria,,,x
130183,The People's Republic of China,,,x
130112,"The Province of Nova Scotia, Department of Tourism, Culture and Heritage",,,x
130355,The Puntland Development Office,,,x
130172,The Puntland State of Somalia,,,x
130378,The Republic of Colombia,,,x
130261,The Republic of Congo,,,x
129897,"The Republic of Iraq, acting through the Ministry of Finance",,,x
129896,"The Republic of Liberia, acting through the Minister of Finance",,,x
129970,The Republic of Uganda,,,x
129881,The Republic of Vanuatu,,,x
130269,The Royal Hashemite Court of Jordan,,,x
129928,The Scottish National Party,,,x
130295,Tilda LTD,,,x
129925,Tilda Rice,,,x
129756,Tourism Authority of Thailand,,,x
129741,Tourism Development and Investing Company (TDIC),,,x
130111,Tourism Ireland Limited,,,x
130229,Tourism New South Wales,,,x
130140,Tourism New Zealand,,,x
129876,Tourism Promotion of Chile,,,x
129917,Tourism Queensland (formerly Queensland Tourism and Travel Corporation),,,x
129874,Tourism Tasmania,,,x
130235,Tourism Toronto,,,x
129989,Transitional Somali Federal Government,,,x
130203,Turkish Culture & Tourist Office,,,x
129793,Turkish Republic of Northern Cyprus,,,x
130195,"Turkish Republic of Northern Cyprus, H.E. Dr. Dervis Eroglu",,,x
129822,UK Trade and Investment USA,,,x
129742,Ullens Center for Comtemporary Art,,,x
129783,Unifrance Film International,,,x
130126,United Arab Emirates,,,x
130274,United Mexican States (Kraiem),,,x
129899,Urenco Limited,,,x
129903,Utrok Atoll Local Government,,,x
130069,Vacci-Test Corporation,,,x
130003,Venezuela,,,x
129815,Via Rail,,,x
130031,VisitBritain,,,x
129882,Visitsweden (Former Sverigesrese & Turistrad),,,x
129875,Welsh Development Agency,,,x
129997,Williams Mullen continued to represent the Government of Romania.,,,x
129996,Williams Mullen Strategies continues to represent the Government of Romania.,,,x
129890,Xin Min Evening Newspaper,,,x
130019,"Yulia Tymoshenko, Bloc of Yulia Tymoshenko (BYuT)",,,x
