Kendra Meek (D-FL),3443410
William Lacy Clay (D-MO),3443409
Bennie Thompson (D-MS),3443406
Greg Meeks (D-NY),3443404
Ike Skelton (D-MO),3443403
Solomon Ortiz (D-TX),3443400
Keith Ellison (D-MN),3443399
Keith Ellison (D-MN),3443398
Sheila Jackson Lee (D-TX),3443393
Dutch Ruppersberger (D-MD),3443392
Ike Skelton (D-MO),3443391
Greg Meeks (D-NY),3443390
Jim Clyburn (D-SC),3443389
Alcee Hastings (D-FL),3443380
Keith Ellison (D-MN),3443369
Alcee Hastings (D-FL),3443363
Ted Poe (R-TX),3443360
Ileana Ros-Lehtinen (R-FL),3443506
Eleanor Holmes Norton (D-DC),3443504
Joe Barton (R-TX),3443555
Barbara Lee (D-CA),3443751
Carolyn Kilpatrick (D-MI),3443750
Hank Johnson (D-GA),3443749
Eddie Bernice Johnson (D-TX),3443748
Sheila Jackson Lee (D-TX),3443747
Jesse Jackson Jr. (D-IL),3443746
Alcee Hastings (D-FL),3443745
Keith Ellison (D-MN),3443744
Danny Davis (D-IL),3443743
Emanuel Cleaver (D-MO),3443742
Andre Carson (D-IN),3443741
G. K. Butterfield (D-NC),3443740
Bennie Thompson (D-MS),3443756
David Scott (D-GA),3443755
Donald Payne (D-NJ),3443754
Greg Meeks (D-NY),3443753
John Lewis (D-GA),3443752
"Greg Meeks (D-NY), Keith Ellison (D-MN), Sheila Jackson Lee (D-TX), Barbara Lee (D-CA), Carolyn Kilp",3443758
David Scott (D-GA),3443767
Andre Carson (D-IN),3443795
Hank Johnson (D-GA),3470839
Alcee Hastings (D-FL),3470840
Eddie Bernice Johnson (D-TX),3443782
Alcee Hastings (D-FL),3443773
Gabriel Giffords (D),3445439
Ron Wyden (D),3445460
Daniel Inouye (HI),3454663
Sander Levin (MI),3454658
Daniel Inouye (HI),3454656
Brian Bilbray (CA),3454655
Bob Filner (CA),3454654
Jim McDermott (WA),3454652
Sander Levin (MI),3454651
Charles Boustany (LA),3454721
Brian Bilbray (CA),3454722
Kit Bond (R-MO),3454723
Madeleine Bordallo (GU),3454724
Bob Filner (CA),3454725
Jim McDermott (WA),3454791
David Dreier (CA),3454790
Jim Webb (VA),3454786
John Tanner (TN),3454792
Steve Austria (OH),3454793
Bob Filner (CA),3454803
Dutch Ruppersberger (MA),3454809
Brian Bilbray (CA),3455009
Judy Chu (CA),3455006
Bill Foster (IL),3455005
Linda Sanchez (CA),3455004
Charles Rangel (NY),3455001
