clientreg_id,registration,reg_id,client_id,nclient_id,file_id
143,97,5781,203,84793,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
144,98,5781,184,84794,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
145,99,5781,364,84795,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
146,100,5781,364,84795,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
147,101,5781,28,84796,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
148,102,5781,28,84796,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
149,103,5781,289,84797,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
150,104,5781,289,84797,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
151,105,5781,99,84798,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
152,106,5781,99,84798,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
153,107,5781,240,84799,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
154,107,5781,3,84800,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
155,108,5781,135,84801,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
156,109,5781,202,84802,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
157,110,5781,209,84803,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
187,127,5781,209,84803,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
188,128,5781,195,84804,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
189,129,5781,195,84804,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
190,130,5781,360,84805,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
191,131,5781,297,84806,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
192,132,5781,194,84807,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
196,133,5781,188,84808,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
197,133,5781,303,84809,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
194,133,5781,191,84810,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
