Patrick Ke,"Kennedy, Patrick J."
Ike Skelton,"Ros-Lehtinen, Ileana"
John M,"Ros-Lehtinen, Ileana"
John M,"McHugh, John M."
John M,"Kaptur, Marcy"
John M,"Skelton, Ike"
John M,"Crowley, Joseph"
Ike Skelton,"McNulty, Michael R."
John M,"McNulty, Michael R."
Gene,"Ackerman, Gary"
Gene,"Green, Gene"
Gene,"Waxman, Henry A."
Gene,"Berman, Howard L."
Nita Lowey,"Kennedy, Patrick J."
Tom Lantos,"Meeks, Gregory W."
Eliot Engel,"Meeks, Gregory W."
Sherrod Brown,"Mikulski, Barbara A."
Joseph,"Mikulski, Barbara A."
Joseph,"Lieberman, Joe"
Joseph,"Brown, Sherrod"
Joseph,"Dorgan, Byron L."
Tom Lan,"Chabot, Steve"
Tom Lan,"Rothman, Steve"
Nita Lowey,"Abercrombie, Neil"
Patrick Ke,"Abercrombie, Neil"
Nita Lowey,"Berkley, Shelley"
Patrick Ke,"Berkley, Shelley"
Howard B,"Berkley, Shelley"
Howard B,"Chandler, Ben"
Howard B,"Crowley, Joseph"
Tom Lantos,"Towns, Edolphus"
Tom Lantos,"Giffords, Gabrielle"
Robert Wexler,"Giffords, Gabrielle"
Eliot Engel,"Giffords, Gabrielle"
Tom Lantos,"Engel, Eliot L."
Howard B,"Berman, Howard L."
Robert Wexler,"Giffords, Gabrielle"
Eliot Engel,"Giffords, Gabrielle"
Gregory Meek,"Giffords, Gabrielle"
Eliot Engel,"Meeks, Gregory W."
Gregory Meek,"Meeks, Gregory W."
Robert Wexler,"Jackson Lee, Sheila"
Eliot Engel,"Jackson Lee, Sheila"
Gregory Meek,"Jackson Lee, Sheila"
Gregory,"Meeks, Gregory W."
Gary Ackerman,"Maloney, Carolyn B."
Gregory,"Maloney, Carolyn B."
Gregory,"Ackerman, Gary"
Eliot Engel,"Hastings, Alcee L."
Gene Gr,"Hastings, Alcee L."
Gene Gr,"Engel, Eliot L."
Eliot Engel,"Giffords, Gabrielle"
Gene Gr,"Giffords, Gabrielle"
Eliot Engel,"Jackson Lee, Sheila"
Gene Gr,"Jackson Lee, Sheila"
Howard B,"Ackerman, Gary"
Howard B,"Blumenauer, Earl"
J,"Smith, Adam"
Eliot Engel,"Berman, Howard L."
Gregory Meek,"Berman, Howard L."
J,"Sherman, Brad"
Brad Miller,"Payne, Donald M."
Adam Smith,"Payne, Donald M."
J,"Payne, Donald M."
J,"Tanner, John"
J,"Miller, Brad"
J,"Ackerman, Gary"
Gene Green,"Watson, Diane E."
Diane Wats,"Watson, Diane E."
Gene Green,"Hinojosa, Ruben"
Diane Wats,"Hinojosa, Ruben"
Gene Green,"Faleomavaega, Eni F. H."
Eni Faleomavaega,"Faleomavaega, Eni F. H."
Diane Wats,"Faleomavaega, Eni F. H."
J,"Delahunt, Bill"
Joe Wilson,"Barrett, J. Gresham"
John Boozman,"Barrett, J. Gresham"
J. Gresham Bar,"Barrett, J. Gresham"
David Wu,"Crowley, Joseph"
David Wu,"Sanchez, Linda"
Judd Greg,"Leahy, Patrick"
Judd Greg,"Brownback, Sam"
Hillary,"Weiner, Anthony D."
Ed Royce,"Wolf, Frank R."
Fr,"Wolf, Frank R."
Fr,"Royce, Ed"
Fr,"Lowey, Nita"
Nita Lowey,"McCollum, Betty"
Ed Royce,"McCollum, Betty"
Fr,"McCollum, Betty"
Judd Greg,"Landrieu, Mary L."
Hillary,"Maloney, Carolyn B."
Anthony Weiner,"Maloney, Carolyn B."
Hillary,"Boxer, Barbara"
Howard Wolfson,"Schumer, Charles E."
Hillary,"Schumer, Charles E."
Anthony Weiner,"Schumer, Charles E."
Hillary,"Emanuel, Rahm"
Hillary,"Clinton, Hillary"
Howard Wolfson,"Maloney, Carolyn B."
Boren,"Etheridge, Bob"
Tauscher,"Etheridge, Bob"
Brian,"Etheridge, Bob"
Boren,"Donnelly, Joe"
Tauscher,"Donnelly, Joe"
Brian,"Donnelly, Joe"
Tauscher,"Tauscher, Ellen"
Brian,"Tauscher, Ellen"
Boren,"Boren, Dan"
Brian,"Boren, Dan"
Farr,"Farr, Sam"
Boren,"Boren, Dan"
Farr,"Boren, Dan"
Udall,"Udall, Mark"
Boren,"Udall, Mark"
Udall,"Inslee, Jay"
Boren,"Inslee, Jay"
Udall,"Boren, Dan"
Boren,"Boren, Dan"
Boren,"Inslee, Jay"
Inslee,"Inslee, Jay"
Boren,"Boren, Dan"
Udall,"Reed, Jack"
Re,"Reed, Jack"
Udall,"Udall, Mark"
Re,"Udall, Mark"
Udall,"Etheridge, Bob"
Inslee,"Etheridge, Bob"
Brian B,"Etheridge, Bob"
Udall,"Inslee, Jay"
Inslee,"Inslee, Jay"
Udall,"Reed, Jack"
Udall,"Udall, Mark"
Inslee,"Udall, Mark"
Murphy,"Harman, Jane"
Harman,"Harman, Jane"
John He,"Harman, Jane"
Murphy,"Murphy, Patrick J."
Harman,"Murphy, Patrick J."
John He,"Murphy, Patrick J."
Murphy,"Udall, Mark"
Harman,"Udall, Mark"
Murphy,"Eshoo, Anna G."
Harman,"Eshoo, Anna G."
John He,"Eshoo, Anna G."
Boren,"Tauscher, Ellen"
Steny Hoye,"Hoyer, Steny H."
Steny Hoye,"Becerra, Xavier"
Maxine Waters,"Kanjorski, Paul E."
Kendrick Mee,"Kanjorski, Paul E."
Diane Watson,"Butterfield, G. K."
Charlie Ra,"Butterfield, G. K."
Diane Watson,"Rangel, Charles B."
Charlie Ra,"Rangel, Charles B."
Charlie Ra,"Watson, Diane E."
Sununu,"Sununu, John E."
John E.,"Sununu, John E."
Warner,"Warner, John W."
John W.,"Warner, John W."
Inhofe,"Inhofe, James M."
James M.,"Inhofe, James M."
Joe Crowley,"Cummings, Elijah E."
Maxine Waters,"Cummings, Elijah E."
Kendrick Mee,"Cummings, Elijah E."
Joe Crowley,"Meek, Kendrick B."
Kendrick Mee,"Meek, Kendrick B."
Joe Crowley,"Kanjorski, Paul E."
Rangel,Charles Rangel
Goodloe Sutton,"Mikulski, Barbara A."
Erin Corcoran,"Mikulski, Barbara A."
Erin Corcoran,"Shelby, Richard C."
Royce,"Ed Royce, Dan Burton and Diane Watson"
Burton,"Ed Royce, Dan Burton and Diane Watson"
Watson,"Ed Royce, Dan Burton and Diane Watson"
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Family,Shelli Baker
Feinstein,Dianne Feinstein
Feinstein,Dianne Feinstein
Feinstein,Dianne Feinstein
Ackerman,Gary Ackerman
Feinstein,Dianne Feinstein
Feinstein,Dianne Feinstein
Ackerman,Gary Ackerman
Schumer,Charles Schumer
Schumer,Charles Schumer
Rangel,Charles Rangel
Barzani,Masoud Barzani
Davutoglu,Ahmet Davutoglu
Barzani,Massoud Barzani
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Liz Hittos,Elizabeth Hittos
Howard Berman,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
Elliot Engel,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
Lynn Woolsey,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
Diane Watson,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
Dana Rohrabacher,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
Joseph Wu,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
Gary Ackerman,"Howard Berman, Elliot Engel, Lynn Woolsey, Diane Watson, Dana Rohrabacher, Joseph Wu, Gary Ackerman"
McCain,John McCain
Danielle Baussan,House Select Committee on Energy Independence and Global Warming
Michael Goo,House Select Committee on Energy Independence and Global Warming
Danielle Baussan,House Select Committee on Energy Independence and Global Warming
Ed Markey,"Markey, Edward J."
Danielle Baussan,House Select Committee on Energy Independence and Global Warming
Danielle Baussan,House Select Committee on Energy Independence and Global Warming
Ackerman,Gary Ackerman
Feinstein,Dianne Feinstein
Brad Miller,"Meeks, Gregory W."
