"Cochran, Bond, Gregg, Martinez, McConnel"
"Kelly, Jason"
"Dreazen, Yochi"
"Kelly, Jason"
"Kelly, Jason"
"Karnitschnig, Matthew"
"Karnitschnig, Matthew"
"Kelly, Jason"
"Lucas, Edward"
"Kelly, Jason"
"Kelly, Jason"
"Lucas, Edward"
"Kelly, Jason"
"Kelly, Jason"
"Lucas, Edward"
"Karnitschnig, Matthew"
"Karnitschnig, Matthew"
"Kelly, Jason"
"Lucas, Edward"
"Lucas, Edward"
"Gamble, Hadley"
"Kelly, Jason"
"Kelly, Jason"
"Gamble, Hadley"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Karnitschnig, Matthew"
"Karnitschnig, Matthew"
"Kelly, Jason"
"Karnitschnig, Matthew"
"Karnitschnig, Matthew"
"Kelly, Jason"
"Lucas, Edward"
"Karnitschnig, Matthew"
"Kelly, Jason"
"Karnitschnig, Matthew"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Kelly, Jason"
"Gamble, Hadley"
"Kelly, Jason"
"Kelly, Jason"
"Savu, Irina"
"Bernard Parks (Los Angeles, CA)"
"David Coss (Santa Fe, NM)"
"Sandra Hutchens (Orange County, CA)"
"Oscar Goodman (Las Vegas, NV)"
"Reed (San Jose, CA)"
"Ken Myers, Jr."
"Jesse Jackson, Jr."
"Jesse Jackson, Jr."
"Jesse Jackson, Jr."
"Lisa, Subrize"
"Kenneth Myers, Jr."
"Thomas A. Shannon, Jr."
"Thomas A. Shannon, Jr."
"Thomas A. Shannon, Jr."
"James B. Greene, Jr."
"Kenny Myers, III"
"Kenny Myeers, III"
"Kenny Myeers, III"
"Kenny Myers, III"
"Kenny Meyers, III"
"Doug Campbell,"
"Delahunt, Bill"
"Hagel, Chuck"
"Mike Crapo, R-ID"
"Gene Green, D-TX"
"Jerry Weller, R-IL"
"Maurice Hinchey, D-NY"
"Jim McDermot, D-WA"
"Kenneth A. Myers, Jr."
"Margaret, Victor"
"Shung, Janeens"
"Gideon, Alizo"
"Gideon, Alizo"
"Gideon, Alizo"
"Atem, Alizo"
"Atem, Alizo, Swoto"
"Hagel, Isakson, Martinez"
"Wanda Rubianes, Sr."
"Mitch McConnell (R-KY), Jon Kyl (R-AZ) a"
"Kenny Myers, III"
"PKenny Myers, III"
"Kenny Myers, III"
"Lieberman, Hoyer, Diaz-Balart"
"Cochran, Bond, Gregg, Martinez, McConnel"
"Putnam, Cosca"
"Baucus, Snowe"
"Robert L. Roach, Esq"
"Michael F Mundaca, Esq."
"Allen Huffman, Esq."
"Ian Solomon, Esq."
"John Harrington, Esq."
"Robert L. Roach, Esq"
"Joshua D. Odintz, Esq."
"Michael F Mundaca, Esq."
"Allen Huffman, Esq."
"Ian Solomon, Esq."
"Christopher L. Javens, Esq."
"Robert L. Roach, Esq"
"Kase W. Juboori, Esq."
"Aruna Kalyanam, Esq."
"Christopher L. Javens, Esq."
"Dennis Shaul, Esq."
"Ian Solomon, Esq."
"Allen Huffman, Esq."
"Allen J. Littman, Esq."
"Brion D. Graber, Esq."
"Christopher A. Gerke, Esq."
"Edward D. Kleinbard, Esq."
"Ken Myers, III"
"Ken Myers, III"
"Ken Myers, III"
"Ken Myers, III"
"James Sturgis, JR"
"Andrea Miller, Shambala Sun"
"Michael Moris, Kevin And Yodon"
"Kevin, Yodon and Ray"
"Hiroaki Ishii, Naoyuki Hasegawa"
"Jeff Hammarlund, Chenyi Chiu, Stephen G Eichenlaub, Tim Van Slambrouck"
"Makoto Abe, Matt Stephens, Jun Nagamine"
"Mr. Kenichi Mori, Mr. Sushi Kamioka"
"Mr. Shigeni Kimura, Mr. Katsuo Suki"
"Mr. Kenneth Charhut, Kate Wenc, Hidetaka Oishi, Dr. Kazumasa Takeuchi, Taku Sato"
"Mr. Don Murphy, Jason Hoffs, Roy Lee"
"Rachel Yousey, Ann Karl, Erik Martini, Kelly Tucker, Lisa Korte, Mollie Davis, and Stuart Crampton"
"Mr. Kapil Gupta, Mr. Patrick Fischer"
"Brad Bare, Mac Campbell and Paul Wolfe"
"Bob Manogue, Clayton Hays, Deena Magnall"
"William Craft, Clayton Hays"
"Laura Ringdahl, Elizabeth Mortenson"
"Mr. Kapli Gupta, Mr. Patrick Fischer"
"Brad Bare, Mac Campbell and Paul Wolfe"
"Bob Manogue, Clayton Hays, Deena Magnall"
"William Craft, Clayton Hays"
"Laura Ringdahl, Elizabeth Mortenson"
"Manal S. Corwin, Esq."
"Gregory S. Matson, Esq."
"Joe Huddleston, Esq."
"Aharon J. Friedman, Esq."
"Allen Huffman, Esq."
"Ross K. Kirschner, Esq."
"Robert L. Roach, Esq."
"Aruna Kalyanam, Esq."
"Jeffrey Ziarko, Esq."
"Melissa Mueller, Esq."
"Kase W. Jubboori, Esq."
"Ryan McCormick, Esq."
"Nicholas A. Wyatt, Esq."
"Jeffrey Ziarko, Esq."
"Elizabeth Jackobs, Esq."
"Babback Sabahi, Esq."
"Aharon Friedman, Esq."
"Douglas W. O'Donnell, CPA"
"Brion D. Graber, Esq."
"Michael J. Liker, Esq."
"Cynthia LaFuente, Esq."
"Kristeen Witt, Esq."
"Kevin Livingston, Esq."
"Elizabeth Jacobs, Esq."
"Babback Sabahi, Esq."
"Jeffrey Ziarko, Esq."
"Aharon Friedman, Esq."
"Gary W. Sutton, Esq."
"Joe Huddleston, LL.D"
"Robert L. Roach, Esq."
"Melissa Mueller, Esq."
"Jeffrey Ziarko, Esq."
"Aharon Friedman, Esq"
"Scott Tranter, LA"
