if registrant,client should not be ,client should be ,reg
876,130121,130061,arab
1699,130121,129747,tibet
1787,130121,129751,Qubec
2093,130121,130603,Romanain tourist
3690,130121,129833,taipei
3718,130121,130640,holland and knight
3911,130121,130221,CRMGRP
5909,130121,129795,Winston & Strawn LLP
5929,130121,129768,Marston Webb & Associates
5930,130121,130641,Fiona Ki
5951,130121,130352,navigators
5967,130121,130575,Africa
