orig id,replace with id,name,stripped name
129902,,The British Virgin Islands Tourist Board,British Virgin Islands Tourist Board
129853,,"Bureau of Foreign Trade, Ministry of Economic Affairs, Government of the Republic of China (BOFT)","Bureau of Foreign Trade, Ministry of Economic Affairs, China (BOFT)"
129784,,Camara de Azucareros,Camara de Azucareros
129824,,Camara Nacional de la Industria Electronica de Telecomunicationes y Technologias de la Informacion (,Camara Nacional de la Industria Electronica de Telecomunicationes y Technologias de la Informacion (
130079,,Camelot Oil & Gas Development Ltd.,Camelot Oil & Gas Development Ltd.
129765,,The Government of the Republic of Cameroon,Cameroon
129947,,Government of Cameroon (Ministry of Finance),Cameroon (Ministry of Finance)
129929,,Canadian Broadcasting Corporation,Canadian Broadcasting Corporation
130363,,Canadian Commercial Corporation,Canadian Commercial Corporation
129813,,Canadian Embassy,Canadian Embassy
130225,,Canadian Tourism Commission,Canadian Tourism Commission
130331,,Caribbean Tourism Development Company,Caribbean Tourism Development Company
130062,,The Caribbean Tourism Organization,Caribbean Tourism Organization
130509,,Carnival Corporation & PLC,Carnival Corporation & PLC
130218,,Government of the Cayman Islands,Cayman Islands
129789,,Government of the Cayman Islands (Department of Tourism),Cayman Islands (Department of Tourism)
130033,,"Cayman Islands Government, Portfolio of Finance and Economics","Cayman Islands Government, Portfolio of Finance and Economics"
130300,,Central Bank of Curacao and Sint Maarten,Central Bank of Curacao and Sint Maarten
130408,,Central Bank of Sri Lanka,Central Bank of Sri Lanka
129775,,Government of the People's Republic of China,China
130426,,China Academy of Railway Sciences (CARS),China Academy of Railway Sciences (CARS)
130176,,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products
130414,,China Council for the Promotion of International Trade,China Council for Promotion of International Trade
129827,,China Daily of Beijing,China Daily of Beijing
129825,,China National Tourism Administration (CNTA),China National Tourism Administration (CNTA)
129901,,China Ocean Shipping Company,China Ocean Shipping Company
129885,,China Shipping (Group) Company,China Shipping (Group) Company
130489,,The China-US Exchange Foundation,China-US Exchange Foundation
130505,,Chongge,Chongge
130503,,Chuyoua,Chuyoua
130008,,"The City Government of St. Petersburg, Russion Federation","City Petersburg, Russion Federation"
130492,,Clark Hill,Clark Hill
130146,,Government of Colombia,Colombia
129880,,Comission Nacional de Zonas Francas (Nicaragua),Comission Nacional de Zonas Francas (Nicaragua)
130443,,Comite de Gestion de la Filliere Cafe-Cacao (Cocoa and Coffee Board) of Ivory Coast,Comite de Gestion de la Filliere Cafe-Cacao (Cocoa and Coffee Board) of Ivory Coast
130361,,"Commercial Procurement Office of Defense Cooperation, Netherlands","Commercial Procurement Office of Defense Cooperation, Netherlands"
129934,,Commission de Mise en Oeuvre de la Loi HOPE (CMO-HOPE),Commission de Mise en Oeuvre de la Loi HOPE (CMO-HOPE)
130464,,The Committee of Support for the Equatorial Guinea (CANIGE),Committee of Support for Equatorial Guinea (CANIGE)
130423,,Committee Supporting Democracy and Justice in Pakistan,Committee Supporting Democracy and Justice in Pakistan
130038,,Commonwealth of Australia,Commonwealth of Australia
129937,,Commonwealth Of Dominica,Commonwealth Of Dominica
130261,,The Republic of Congo,Congo
130516,,Republic of Congo - Brazzaville,Congo - Brazzaville
130190,,Consejo de Promocion Turistica de Mexico S.A. de C.V,Consejo de Promocion Turistica de Mexico S.A. de C.V
130529,,"Consejo Nacional de Seguridad, Republic of Panama","Consejo Nacional de Seguridad, Panama"
129959,,Conselho Nacional De Carregadores De Angola (C.N.C.),Conselho Nacional De Carregadores De Angola (C.N.C.)
130021,,The Consulate General of the Republic of Azerbaijan,Consulate General of Azerbaijan
130512,,Consulate General of Canada Boston,Consulate General of Canada Boston
129862,,"Consulate General Of Japan, San Francisco","Consulate General Of Japan, San Francisco"
130466,,Consulate General of Republic of Korea in New York,Consulate General of Korea in New York
130416,,Consulate of the Russian Federation,Consulate of Russian Federation
129846,,Coordinadora de las Comunidades Afectadas por la Construccion de la Hidroelectrica Chixoy (COCAHICH),Coordinadora de las Comunidades Afectadas por la Construccion de la Hidroelectrica Chixoy (COCAHICH)
130169,,Copenhagen Consensus Center,Copenhagen Consensus Center
129872,,Corporation for the Promotion of Exports and Investments of Ecuador,Corporation for Promotion of Exports and Investments of Ecuador
129841,,Government of Cote d'Ivoire,Cote d'Ivoire
130372,,Council for Leather Exports of India,Council for Leather Exports of India
129977,,Council of Khalistan,Council of Khalistan
129990,,Country of Peru,Country of Peru
130344,,"Country of Serbia: Ambassador Vladimir Petrovic, Jovan Ratkovic, Foreign Policy Advisor to President","Country of Serbia: Ambassador Vladimir Petrovic, Jovan Ratkovic, Foreign Policy Advisor to President"
